Building DAG of jobs...
output_file	date	rule	log-file(s)	input-file(s)	shellcmd	status	plan
data/standard_header_input_fasta/H5N1_context.fasta	Tue May 26 02:12:26 2026	build_standard_headers_for_gisaid_context		config/flu_filtrado.csv,data/context/gisaid_epiflu_sequence.fasta,data/standard_header_input_fasta/H5N1_EC.fasta	export PYTHONPATH=code:${PYTHONPATH:-};         python code/build_inputs/process_gisaid_context.py \;             --ecuador-fasta data/standard_header_input_fasta/H5N1_EC.fasta \;             --context-fasta-in data/context/gisaid_epiflu_sequence.fasta \;             --context-fasta-out data/standard_header_input_fasta/H5N1_context.fasta \;             --final-fasta-out data/standard_header_input_fasta/H5N1_final.fasta \;             --metadata-csv config/flu_filtrado.csv \;             --max-per-country-month 2 \;             --exclude-accessions EPI_ISL_19145215 EPI_ISL_19151732 EPI_ISL_19158330 EPI_ISL_19303622 EPI_ISL_19158329 EPI_ISL_19151888 EPI_ISL_19157532 EPI_ISL_13117289 EPI_ISL_19151708 EPI_ISL_19151569 EPI_ISL_19151673	rule implementation changed	update pending
data/standard_header_input_fasta/H5N1_final.fasta	Tue May 26 02:12:26 2026	build_standard_headers_for_gisaid_context		config/flu_filtrado.csv,data/context/gisaid_epiflu_sequence.fasta,data/standard_header_input_fasta/H5N1_EC.fasta	export PYTHONPATH=code:${PYTHONPATH:-};         python code/build_inputs/process_gisaid_context.py \;             --ecuador-fasta data/standard_header_input_fasta/H5N1_EC.fasta \;             --context-fasta-in data/context/gisaid_epiflu_sequence.fasta \;             --context-fasta-out data/standard_header_input_fasta/H5N1_context.fasta \;             --final-fasta-out data/standard_header_input_fasta/H5N1_final.fasta \;             --metadata-csv config/flu_filtrado.csv \;             --max-per-country-month 2 \;             --exclude-accessions EPI_ISL_19145215 EPI_ISL_19151732 EPI_ISL_19158330 EPI_ISL_19303622 EPI_ISL_19158329 EPI_ISL_19151888 EPI_ISL_19157532 EPI_ISL_13117289 EPI_ISL_19151708 EPI_ISL_19151569 EPI_ISL_19151673	rule implementation changed	update pending
data/standard_header_input_fasta/H5N1_EC.fasta	Tue May 26 02:12:25 2026	build_standard_date_headers		config/flu_filtrado.csv,data/input/H5N1_EC_gisaid_from_mira.fasta	export PYTHONPATH=code:${PYTHONPATH:-};         python code/build_inputs/build_standard_date_headers.py \;             --input-fasta data/input/H5N1_EC_gisaid_from_mira.fasta \;             --metadata-csv config/flu_filtrado.csv \;             --ecuador-date-source collection \;             --output-fasta data/standard_header_input_fasta/H5N1_EC.fasta	ok	no update
data/input/H5N1_EC_gisaid_from_mira.fasta	Tue May 26 02:12:25 2026	build_gisaid_input_from_mira		../../../MIRA_NGS/run1/amended_consensus.fasta,../../../MIRA_NGS/run10/amended_consensus.fasta,../../../MIRA_NGS/run12/amended_consensus.fasta,../../../MIRA_NGS/run17/amended_consensus.fasta,../../../MIRA_NGS/run2/amended_consensus.fasta,../../../MIRA_NGS/run20/amended_consensus.fasta,../../../MIRA_NGS/run21/amended_consensus.fasta,../../../MIRA_NGS/run22/amended_consensus.fasta,../../../MIRA_NGS/run23/amended_consensus.fasta,../../../MIRA_NGS/run24/amended_consensus.fasta,../../../MIRA_NGS/run25/amended_consensus.fasta,../../../MIRA_NGS/run26/amended_consensus.fasta,../../../MIRA_NGS/run3/amended_consensus.fasta,../../../MIRA_NGS/run8/amended_consensus.fasta,../../../MIRA_NGS/run9/amended_consensus.fasta,../../../MIRA_NGS/run_agro/amended_consensus.fasta,config/flu_filtrado.csv	python code/build_inputs/build_gisaid_input_from_mira.py	ok	no update
data/phylogeny/by_segment/H5N1_PB2.fasta	Tue May 26 02:12:26 2026	split_h5n1_final_by_segment		data/standard_header_input_fasta/H5N1_final.fasta	python code/01_ml_trees/split_final_fasta_by_segment.py \;             --input-fasta data/standard_header_input_fasta/H5N1_final.fasta \;             --output-dir data/phylogeny/by_segment \;             --summary-csv data/phylogeny/by_segment_summary.csv	ok	update pending
data/phylogeny/by_segment/H5N1_PB1.fasta	Tue May 26 02:12:26 2026	split_h5n1_final_by_segment		data/standard_header_input_fasta/H5N1_final.fasta	python code/01_ml_trees/split_final_fasta_by_segment.py \;             --input-fasta data/standard_header_input_fasta/H5N1_final.fasta \;             --output-dir data/phylogeny/by_segment \;             --summary-csv data/phylogeny/by_segment_summary.csv	ok	update pending
data/phylogeny/by_segment/H5N1_PA.fasta	Tue May 26 02:12:26 2026	split_h5n1_final_by_segment		data/standard_header_input_fasta/H5N1_final.fasta	python code/01_ml_trees/split_final_fasta_by_segment.py \;             --input-fasta data/standard_header_input_fasta/H5N1_final.fasta \;             --output-dir data/phylogeny/by_segment \;             --summary-csv data/phylogeny/by_segment_summary.csv	ok	update pending
data/phylogeny/by_segment/H5N1_HA.fasta	Tue May 26 02:12:26 2026	split_h5n1_final_by_segment		data/standard_header_input_fasta/H5N1_final.fasta	python code/01_ml_trees/split_final_fasta_by_segment.py \;             --input-fasta data/standard_header_input_fasta/H5N1_final.fasta \;             --output-dir data/phylogeny/by_segment \;             --summary-csv data/phylogeny/by_segment_summary.csv	ok	update pending
data/phylogeny/by_segment/H5N1_NP.fasta	Tue May 26 02:12:26 2026	split_h5n1_final_by_segment		data/standard_header_input_fasta/H5N1_final.fasta	python code/01_ml_trees/split_final_fasta_by_segment.py \;             --input-fasta data/standard_header_input_fasta/H5N1_final.fasta \;             --output-dir data/phylogeny/by_segment \;             --summary-csv data/phylogeny/by_segment_summary.csv	ok	update pending
data/phylogeny/by_segment/H5N1_NA.fasta	Tue May 26 02:12:26 2026	split_h5n1_final_by_segment		data/standard_header_input_fasta/H5N1_final.fasta	python code/01_ml_trees/split_final_fasta_by_segment.py \;             --input-fasta data/standard_header_input_fasta/H5N1_final.fasta \;             --output-dir data/phylogeny/by_segment \;             --summary-csv data/phylogeny/by_segment_summary.csv	ok	update pending
